Datum,Turnier,Bedenkzeit,Turnierlink
18.02.,103. Lichess Quarantäne-Liga 6B,3+2,https://lichess.org/tournament/zfVhwAY5
14.02.,102. Lichess Quarantäne-Liga 6B,3+0,https://lichess.org/tournament/OZb3XvmC
11.02.,101. Lichess Quarantäne-Liga 6C,5+0,https://lichess.org/tournament/DHaE2RUy
07.02.,100. Lichess Quarantäne-Liga 7C,3+2,https://lichess.org/tournament/SgxFyQzr
04.02.,99. Lichess Quarantäne-Liga 6C,3+0,https://lichess.org/tournament/JOUglpcj
31.01.,98. Lichess Quarantäne-Liga 5A,5+0,https://lichess.org/tournament/OYhxrbKr
28.01.,97. Lichess Quarantäne-Liga 6B,3+2,https://lichess.org/tournament/GVHJl3n0
24.01.,96. Lichess Quarantäne-Liga 6C,3+0,https://lichess.org/tournament/Z25xkm8a
21.01.,95. Lichess Quarantäne-Liga 5C,5+0,https://lichess.org/tournament/B26758xB
17.01.,94. Lichess Quarantäne-Liga 6B,3+2,https://lichess.org/tournament/cPlgsHMj
14.01.,93. Lichess Quarantäne-Liga 6A,3+0,https://lichess.org/tournament/Q6qZ918O
10.01.,92. Lichess Quarantäne-Liga 6C,5+0,https://lichess.org/tournament/H4xwC0an
07.01.,91. Lichess Quarantäne-Liga 6A,3+2,https://lichess.org/tournament/1YsdR6vP
03.01.,90. Lichess Quarantäne-Liga 6A,3+0,https://lichess.org/tournament/SndO7KRp
27.12.,89. Lichess Quarantäne-Liga 5A,5+0,https://lichess.org/tournament/BHa8QFKx
20.12.,88. Lichess Quarantäne-Liga 6B,3+2,https://lichess.org/tournament/fQLrspak
17.12.,87. Lichess Quarantäne-Liga 5A,3+0,https://lichess.org/tournament/VcekhfOa
13.12.,86. Lichess Quarantäne-Liga 4B,5+0,https://lichess.org/tournament/vnHMvB0n
10.12.,85. Lichess Quarantäne-Liga 4B,3+2,https://lichess.org/tournament/yUYWYbej
06.12.,84. Lichess Quarantäne-Liga 5C,3+0,https://lichess.org/tournament/hQKwjgYc
03.12.,83. Lichess Quarantäne-Liga 5A,5+0,https://lichess.org/tournament/XKQheJiw
29.11.,82. Lichess Quarantäne-Liga 6B,3+2,https://lichess.org/tournament/pgx6FOrm
26.11.,81. Lichess Quarantäne-Liga 6C,3+0,https://lichess.org/tournament/QX7jwQIF
22.11.,80. Lichess Quarantäne-Liga 5C,5+0,https://lichess.org/tournament/PiayDwf4
19.11.,79. Lichess Quarantäne-Liga 6A,3+2,https://lichess.org/tournament/T7NrqSHl
15.11.,78. Lichess Quarantäne-Liga 6C,3+0,https://lichess.org/tournament/auLtO9DO
12.11.,77. Lichess Quarantäne-Liga 6C,5+0,https://lichess.org/tournament/7Lca7KC5
08.11.,76. Lichess Quarantäne-Liga 5B,3+2,https://lichess.org/tournament/eO5xlrZv
05.11.,75. Lichess Quarantäne-Liga 5B,3+0,https://lichess.org/tournament/mE5J1z3P
01.11.,74. Lichess Quarantäne-Liga 5C,5+0,https://lichess.org/tournament/7lCUB8Ib
29.10.,73. Lichess Quarantäne-Liga 6A,3+2,https://lichess.org/tournament/nFkkEldz
25.10.,72. Lichess Quarantäne-Liga 5B,3+0,https://lichess.org/tournament/fGAKZuC9
22.10.,71. Lichess Quarantäne-Liga 4C,5+0,https://lichess.org/tournament/NVuu0nXG
18.10.,70. Lichess Quarantäne-Liga 5A,3+2,https://lichess.org/tournament/oTjl62Qt
15.10.,69. Lichess Quarantäne-Liga 5C,3+0,https://lichess.org/tournament/L2583r1y
11.10.,68. Lichess Quarantäne-Liga 6C,5+0,https://lichess.org/tournament/3HGqZGCC
08.10.,67. Quarantäne-Liga 6B,3+2,https://lichess.org/tournament/5IkJsr5z
04.10.,66. Quarantäne-Liga 5B,3+0,https://lichess.org/tournament/viLUvHGC
01.10.,65. Quarantäne-Liga 4A,5+0,https://lichess.org/tournament/LayI3mf1
27.09.,64. Quarantäne-Liga 5A,3+2,https://lichess.org/tournament/eBJ52JpZ
24.09.,63. Quarantäne-Liga 4B,3+0,https://lichess.org/tournament/f4cy5aKA
20.09.,62. Quarantäne-Liga 5C,5+0,https://lichess.org/tournament/wYqRsbHO
17.09.,61. Quarantäne-Liga 4C,3+2,https://lichess.org/tournament/Ync5N7f0
13.09.,60. Quarantäne-Liga 5A,3+0,https://lichess.org/tournament/yFnyChJp
10.09.,59. Quarantäne-Liga 6B,5+0,https://lichess.org/tournament/mFBlIPLn
06.09.,58. Quarantäne-Liga 6B,3+2,https://lichess.org/tournament/L1CawVAx
03.09.,57. Quarantäne-Liga 6A,3+0,https://lichess.org/tournament/nMwNjbum
30.08.,56. Quarantäne-Liga 5B,5+0,https://lichess.org/tournament/NYZVvoUT
27.08.,55. Quarantäne-Liga 5A,3+2,https://lichess.org/tournament/2S1V0n28
23.08.,54. Quarantäne-Liga 5C,3+0,https://lichess.org/tournament/HQkvxZxg
20.08.,53. Quarantäne-Liga 5B,5+0,https://lichess.org/tournament/zVlCJzvF
16.08.,52. Quarantäne-Liga 6A,3+2,https://lichess.org/tournament/2RmQf2WH
13.08.,51. Quarantäne-Liga 6A,3+0,https://lichess.org/tournament/xanTlgzM
09.08.,50. Quarantäne-Liga 7A,5+0,https://lichess.org/tournament/DWdeVPFm
06.08.,49. Quarantäne-Liga 6A,3+2,https://lichess.org/tournament/e87TRAcc
02.08.,48. Quarantäne-Liga 6B,3+0,https://lichess.org/tournament/GbiBe4V1
30.07.,47. Quarantäne-Liga 5B,5+0,https://lichess.org/tournament/I7sHLq4N
26.07.,46. Quarantäne-Liga 6C,3+2,https://lichess.org/tournament/Q8IxzJ7j
